table,rows_before,rows_after,missing_values,duplicate_rows,pk_missing,pk_duplicates,invalid_dates,business_errors
department,11,11,0,0,0,0,0,0
disease,20,20,0,0,0,0,0,0
drug_manufacturer,300,300,0,0,0,0,0,0
insurance_provider,50,50,0,0,0,0,0,0
patient,30000,30000,0,0,0,0,0,0
employee,500,500,0,0,0,0,0,0
ward,27,27,0,0,0,0,0,0
drug,250,250,0,0,0,0,0,0
diagnostic_test,9,9,0,0,0,0,0,0
doctor,98,98,0,0,0,0,0,0
bed,415,415,0,0,0,0,0,0
drug_inventory,250,250,0,0,0,0,0,0
patient_insurance,21617,21617,0,0,0,0,0,0
admission,45000,45000,0,0,0,0,0,0
prescription,73109,73109,0,0,0,0,0,0
patient_diagnostic,63269,63269,0,0,0,0,0,0
billing,45000,45000,0,0,0,0,0,0
staff_assignment,207,207,0,0,0,0,0,0
billing_detail,112402,112402,67402,0,0,0,0,0
